author,comments,name,press,price,rank
塞尔玛·拉格洛夫,46863条评论,尼尔斯骑鹅旅行记（又译《尼尔斯骑鹅历险记》《骑鹅旅行记》，瑞,安徽教育出版社,¥12.40,114.
稻盛和夫,98351条评论,心 稻盛和夫的一生嘱托,人民邮电出版社,¥29.50,115.
毛泽东,168933条评论,毛泽东选集（全四册，32开）  团购电话：4001066666转6（此书为特,人民出版社,¥56.70,116.
马德琳·英格,209347条评论,梅格时空大冒险·7~14岁儿童文学科幻经典（全5册）（儿童文学史上,文汇出版社,¥84.50,117.
黄仁宇,749252条评论,万历十五年 一本好书 腾讯视频栏目推荐,生活.读书.新知三联书店,¥13.00,118.
林语堂,516658条评论,苏东坡传（林语堂纪念典藏精装版）（1-9年级必读书单）,湖南文艺出版社,¥26.00,119.
陈卫平,828924条评论,《写给儿童的中国历史》（全彩铜版14册）中国孩子历史启蒙首选书,新世界出版社,¥131.30,62.
东野圭吾,2314162条评论,东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，简体中文,南海出版公司,¥29.50,63.
高野和明,15970条评论,消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步,上海文艺出版社,¥21.00,64.
温伯陵,51738条评论,一读就上瘾的中国史,台海出版社,¥24.70,65.
大冰,720043条评论,啊2.0（上市3个月，狂销100万册！大冰2020作品，新增10万字并包含,北京联合出版有限公司,¥39.60,66.
博多·舍费尔,267524条评论,小狗钱钱套装（全2册）青春有你吴泽林推荐！一个童话般的理财故事,四川少儿出版社,¥31.90,67.
芥川龙之介,392476条评论,罗生门（芥川龙之介小说集）《人间失格》作者太宰治是芥川的头号,时代文艺出版社,¥14.00,68.
沈从文,125692条评论,新课标 边城（沈从文代表作）,中国友谊出版公司,¥15.70,69.
少年怒马,64951条评论,鲜衣怒马少年时-唐宋诗人的诗酒江湖（当当专享印章版，附赠精美海,湖南文艺出版社,¥22.00,120.
亚瑟·乔拉米卡利,156008条评论,共情的力量：情商高的人，如何抚慰受伤的灵魂,中国致公出版社,¥23.50,70.
歪歪兔关键期早教项目组,130758条评论,学会管自己幼儿版-歪歪兔自控力教育系列绘本（全10册，幼儿园必备,海豚出版社,¥30.80,71.
陈磊.半小时漫画团队,865066条评论,半小时漫画中国史：经济篇（透过经济看历史，一不小心看透历史发,上海文艺出版社,¥24.90,72.
莫里斯桑达克,218615条评论,野兽国 （凯迪克金奖绘本，莫里斯桑达克代表品）,贵州人民出版社,¥18.00,73.
王国维,521396条评论,人间词话（近代极富盛名的词话著作，集编、校、释、评于一体，赏,北京联合出版公司,¥13.40,74.
亚米契斯,206403条评论,爱的教育（语文快乐读书吧·六年级上阅读，夏丏尊流芳90年经典译,安徽教育出版社,¥9.80,121.
刘慈欣,486748条评论,银火箭少年科幻系列·第1辑（8册。亚洲首位“雨果奖”得主刘慈欣,浙江教育出版社,¥99.80,75.
歪歪兔关键期早教项目组,34831条评论,一玩就会的逻辑思维游戏（全8册+游戏操作板1套。歪歪兔出品）,海豚出版社,¥49.90,76.
